"Rank","Player","Year","Pos","Team","AAV",""
"","Jamin Davis","2023","OLB","WAS","$3,448,544",""
"","Cole Kmet","2023","TE","CHI","$1,894,445",""
"","Trey Pipkins","2023","T","LAC","$7,250,000",""
"","Deonte Harty","2023","WR","BUF","$4,750,000",""
"","Alec Ingold","2023","FB","MIA","$3,250,000",""
"","Kwity Paye","2023","DE","IND","$3,411,208",""
"","Tristan Wirfs","2023","LT","TB","$4,057,007",""
"","Kyle Hamilton","2023","S","BAL","$4,063,771",""
"","Jeff Okudah","2023","CB","ATL","$8,382,136",""
"","Caleb Farley","2023","CB","TEN","$3,373,871",""
"","Bryan Mone","2023","DT","SEA","$5,517,500",""
"","Kyle Dugger","2023","S","NE","$2,082,976",""
"","Marcus Maye","2023","FS","NO","$7,500,000",""
"","Christian Darrisaw","2023","LT","MIN","$3,336,535",""
"","Kenyon Green","2023","G","HOU","$3,988,351",""
"","Isaac Seumalo","2023","G","PIT","$8,000,000",""
"","Noah Igbinoghene","2023","CB","MIA","$2,813,553",""
"","Peter Skoronski","2023","T","TEN","$4,918,330",""
"","Lawrence Guy","2023","DT","NE","$2,875,000",""
"","Jaylon Johnson","2023","CB","CHI","$1,617,193",""
"","Najee Harris","2023","RB","PIT","$3,261,862",""
"","Will Hernandez","2023","G","ARI","$4,500,000",""
"","Marquis Haynes","2023","DE","CAR","$2,750,000",""
"","Travis Etienne","2023","RB","JAC","$3,224,526",""
"","Devin Bush","2023","ILB","SEA","$3,500,000",""
"","Braxton Berrios","2023","WR","MIA","$3,500,000",""
"","Nyheim Hines","2023","RB","BUF","$6,200,000",""
"","Cody Barton","2023","LB","WAS","$3,500,000",""
"","Tress Way","2023","P","WAS","$3,412,500",""
"","Gardner Minshew","2023","QB","IND","$3,500,000",""
"","Greg Newsome","2023","CB","CLE","$3,187,184",""
"","Jameson Williams","2023","WR","DET","$4,365,448",""
"","Cameron Johnston","2023","P","HOU","$2,666,667",""
"","Tyler Shatley","2023","G","JAC","$2,400,000",""
"","Taven Bryan","2023","DT","IND","$3,510,000",""
"","Clyde Edwards-Helaire","2023","RB","KC","$2,705,393",""
